HMDB ID,URL,Common Name,SMILES,InChI Identifier,InChI Key
HMDB01448,https://hmdb.ca/metabolites/HMDB01448,Sulfate,OS(O)(=O)=O,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)",QAOWNCQODCNURD-UHFFFAOYSA-N
HMDB01453,https://hmdb.ca/metabolites/HMDB01453,Thiocyanate,[S-]C#N,InChI=1S/CHNS/c2-1-3/h3H/p-1,ZMZDMBWJUHKJPS-UHFFFAOYSA-M
HMDB01475,https://hmdb.ca/metabolites/HMDB01475,Zirconium,[Zr+4],InChI=1S/Zr/q+4,GBNDTYKAOXLLID-UHFFFAOYSA-N
HMDB01478,https://hmdb.ca/metabolites/HMDB01478,Gallium,[GaH3],InChI=1S/Ga.3H,PHMDYZQXPPOZDG-UHFFFAOYSA-N
HMDB01854,https://hmdb.ca/metabolites/HMDB01854,Tellurium,[Te+4],InChI=1S/Te/q+4,LHBANKJAFPUZQV-UHFFFAOYSA-N
HMDB01960,https://hmdb.ca/metabolites/HMDB01960,Tin,[SnH4+4],InChI=1S/Sn.4H/q+4;;;;,PXQLTWWGPFDWNT-UHFFFAOYSA-N
HMDB01966,https://hmdb.ca/metabolites/HMDB01966,Titanium,[Ti+4],InChI=1S/Ti/q+4,LCKIEQZJEYYRIY-UHFFFAOYSA-N
HMDB01967,https://hmdb.ca/metabolites/HMDB01967,Carbon dioxide,O=C=O,InChI=1S/CO2/c2-1-3,CURLTUGMZLYLDI-UHFFFAOYSA-N
HMDB01989,https://hmdb.ca/metabolites/HMDB01989,Tungsten,[W+4],InChI=1S/W/q+4,YFGRPIXHCIXTLM-UHFFFAOYSA-N
HMDB02036,https://hmdb.ca/metabolites/HMDB02036,Chlorate,O[Cl++](O)O,InChI=1S/ClH3O3/c2-1(3)4/h2-4H/q+2,UFWVEDMWKRGJKF-UHFFFAOYSA-N
HMDB02077,https://hmdb.ca/metabolites/HMDB02077,Chlorite,O[Cl+]O,InChI=1S/ClH2O2/c2-1-3/h2-3H/q+1,GOROLYBFNQBLDF-UHFFFAOYSA-N
HMDB02078,https://hmdb.ca/metabolites/HMDB02078,Cyanate,OC#N,InChI=1S/CHNO/c2-1-3/h3H,XLJMAIOERFSOGZ-UHFFFAOYSA-N
HMDB02105,https://hmdb.ca/metabolites/HMDB02105,Phosphate,OP(O)(O)=O,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)",NBIIXXVUZAFLBC-UHFFFAOYSA-N
HMDB02111,https://hmdb.ca/metabolites/HMDB02111,Water,O,InChI=1S/H2O/h1H2,XLYOFNOQVPJJNP-UHFFFAOYSA-N
HMDB02142,https://hmdb.ca/metabolites/HMDB02142,Phosphate,OP(O)(O)=O,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)",NBIIXXVUZAFLBC-UHFFFAOYSA-N
HMDB02168,https://hmdb.ca/metabolites/HMDB02168,Superoxide,[O][O-],InChI=1S/HO2/c1-2/h1H/p-1,OUUQCZGPVNCOIJ-UHFFFAOYSA-M
HMDB02175,https://hmdb.ca/metabolites/HMDB02175,Silicon,[Si+4],InChI=1S/Si/q+4,RWMKKWXZFRMVPB-UHFFFAOYSA-N
HMDB02179,https://hmdb.ca/metabolites/HMDB02179,Peroxynitrite,OON=O,InChI=1S/HNO3/c2-1-4-3/h3H,CMFNMSMUKZHDEY-UHFFFAOYSA-N
HMDB02196,https://hmdb.ca/metabolites/HMDB02196,Bismuth,[Bi+3],InChI=1S/Bi/q+3,JDIBGQFKXXXXPN-UHFFFAOYSA-N
HMDB02290,https://hmdb.ca/metabolites/HMDB02290,Arsenic,[As+3],InChI=1S/As/q+3,LULLIKNODDLMDQ-UHFFFAOYSA-N
HMDB02306,https://hmdb.ca/metabolites/HMDB02306,Hydrochloric acid,Cl,InChI=1S/ClH/h1H,VEXZGXHMUGYJMC-UHFFFAOYSA-N
HMDB02386,https://hmdb.ca/metabolites/HMDB02386,Boron,[B+3],InChI=1S/B/q+3,FRWDHMWMHYXNLW-UHFFFAOYSA-N
